Salmon_exp_vol,FX_EURONOK,Interest_rate,Food_index
4089,8.273,5.5,59.936570723993
4959,8.209,5.5,59.936570723993
4610,8.2725,5.5,59.936570723993
4470,8.207,5.5,59.936570723993
4523,8.196,5.5,59.936570723993
4462,8.175,5.5,60.232206404034784
4533,8.175,5.5,60.232206404034784
3807,8.244,5.5,60.232206404034784
4772,8.233,5.5,60.232206404034784
4936,8.19,5.5,61.885426939085434
5334,8.175,5.5,61.885426939085434
5328,8.08,5.5,61.885426939085434
5283,8.03,5.5,61.885426939085434
6047,8.14,5.5,61.27278758368452
3776,8.075,5.5,61.27278758368452
4253,8.115,5.5,61.27278758368452
5246,8.101,5.5,61.27278758368452
4547,8.082,5.5,61.27278758368452
5184,8.04,5.75,62.35193717835056
4913,7.963,5.75,62.35193717835056
5052,7.898,5.75,62.35193717835056
5554,7.9944,5.75,62.35193717835056
4129,7.95,5.75,61.65256577405282
5454,7.975,5.75,61.65256577405282
4891,7.883,5.75,61.65256577405282
5077,7.905,5.75,61.65256577405282
4247,7.945,6.25,61.52334742261335
4272,7.948,6.25,61.52334742261335
4015,7.996,6.25,61.52334742261335
4075,8.015,6.25,61.52334742261335
4372,7.9821,6.25,61.52334742261335
3994,8.0455,6.25,59.1911062197091
4821,8.116,6.25,59.1911062197091
4843,8.1025,6.25,59.1911062197091
5175,8.055,6.25,59.1911062197091
4746,7.9805,6.75,58.37148074585955
4833,8.042,6.75,58.37148074585955
4999,7.9225,6.75,58.37148074585955
5478,8.0755,6.75,58.37148074585955
5121,8.0452,7.0,58.572318192557624
4492,7.9555,7.0,58.572318192557624
4935,7.9655,7.0,58.572318192557624
5169,7.9505,7.0,58.572318192557624
5369,7.965,7.0,58.572318192557624
5196,7.8915,7.0,59.29875232550702
5808,7.9175,7.0,59.29875232550702
5488,7.9185,7.0,59.29875232550702
6132,7.995,7.0,59.29875232550702
6720,7.9765,7.0,59.303331341472244
9219,8.024,7.0,59.303331341472244
7911,7.98,7.0,59.303331341472244
2793,7.964,7.0,59.303331341472244
3353,7.975,7.0,59.303331341472244
4595,7.9555,7.0,57.34715241453938
3872,7.9138,7.0,57.34715241453938
3346,7.8486,7.0,57.34715241453938
1263,7.8325,7.0,57.34715241453938
4730,7.8345,7.0,60.90288263199726
4081,7.7628,7.0,60.90288263199726
4013,7.7565,7.0,60.90288263199726
5140,7.6835,7.0,60.90288263199726
5121,7.703,7.0,63.61535395691794
5765,7.7515,7.0,63.61535395691794
6336,7.6965,7.0,63.61535395691794
3748,7.71,7.0,63.61535395691794
4828,7.648,7.0,64.1122292694871
5104,7.6065,7.0,64.1122292694871
4897,7.612,7.0,64.1122292694871
4493,7.5735,7.0,64.1122292694871
4860,7.571,7.0,64.1122292694871
5118,7.5725,7.0,64.45896406518521
5929,7.5465,7.0,64.45896406518521
5521,7.435,7.0,64.45896406518521
5663,7.473,7.0,64.45896406518521
5932,7.4384,7.0,62.51063506518349
5993,7.4408,7.0,62.51063506518349
5172,7.39,7.0,62.51063506518349
5254,7.4342,7.0,62.51063506518349
5145,7.297,7.0,62.90462017751706
4476,7.3345,7.0,62.90462017751706
5131,7.431,7.0,62.90462017751706
4766,7.54,7.0,62.90462017751706
4785,7.519,7.0,62.90462017751706
5210,7.4575,7.0,63.04803570266858
5169,7.3892,7.0,63.04803570266858
4924,7.413,7.0,63.04803570266858
4973,7.3891,7.0,63.04803570266858
5067,7.353,7.0,62.94328878316282
5352,7.3465,7.0,62.94328878316282
5064,7.36,7.0,62.94328878316282
4894,7.3255,7.0,62.94328878316282
5412,7.291,7.0,62.94328878316282
5261,7.2911,7.0,61.27007918049453
5059,16.9175,7.0,61.27007918049453
6252,7.3529,7.0,61.27007918049453
5502,7.3645,7.0,61.27007918049453
6145,7.3165,7.0,59.52843827024188
5757,7.3178,7.0,59.52843827024188
5700,7.298,7.0,59.52843827024188
6830,7.2839,7.0,59.52843827024188
8613,7.2911,7.0,58.20038646118636
9967,7.325,7.0,58.20038646118636
8424,7.288,7.0,58.20038646118636
2628,7.2815,7.0,58.20038646118636
2825,7.2465,7.0,58.20038646118636
5503,7.241,6.5,58.426574032445075
5051,7.2795,6.5,58.426574032445075
4812,7.46,6.5,58.426574032445075
4752,7.473,6.5,58.426574032445075
4607,7.499,6.5,56.61842968681664
4702,7.5255,6.5,56.61842968681664
4772,7.5435,6.5,56.61842968681664
4265,7.7175,6.5,56.61842968681664
5586,7.9495,6.5,59.106335980054595
5101,7.772,6.5,59.106335980054595
5066,7.865,6.5,59.106335980054595
6378,7.8815,6.5,59.106335980054595
