Strike,Last Price,
100,0.01,
105,0.01,
110,0.01,
115,0.01,
120,0.01,
125,0.01,
130,0.01,
135,0.01,
140,0.01,
145,0.01,
150,0.01,
152.5,0.01,
155,0.01,
157.5,0.01,
160,0.01,
162.5,0.01,
165,0.01,
167.5,0.02,
170,0.02,
172.5,0.03,
175,0.03,
177.5,0.04,
180,0.06,
182.5,0.07,
185,0.1,
187.5,0.14,
190,0.22,
192.5,0.35,
195,0.62,
197.5,1.1,
200,1.93,
202.5,3,
205,4.55,
207.5,6.41,
210,8.45,
212.5,10.7,
215,13.1,
217.5,15.75,
220,18,
222.5,19.1,
225,22.95,
227.5,25.8,
230,27.5,
232.5,31.45,
235,33.08,
237.5,35.6,
240,38.59,
245,45,
250,47.6,
255,62.91,
260,66,
265,63.25,
270,75.71,
275,80.71,
280,87.8,
290,103,
295,103.54,
300,100.85,
305,104.75,
310,121.84,
320,121,
345,151.54,
390,207,
425,223.4,
430,227.95,
440,237.95,
